Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.017272727272727273,0.004287697035788639,0.017272727272727273,0.006815340565390974
XGBoost,0.045454545454545456,0.002066115702479339,0.045454545454545456,0.003952569169960474
Random Forest,0.045454545454545456,0.002066115702479339,0.045454545454545456,0.003952569169960474
